time,humidity,density,windSin,windCos,windGust,windGust2,windGust3,windSpeed,windSpeed2,windSpeed3,power
2/06/2019 03:30,0.75,1.2559431065752906,-0.374606593415912,-0.9271838545667874,6.62,43.824400000000004,290.117528,4.62,21.3444,98.61112800000001,47.73333333
2/06/2019 04:30,0.73,1.2519671204451417,-0.4226182617406993,-0.90630778703665,7.07,49.9849,353.39324300000004,5.01,25.100099999999998,125.75150099999999,45.15
2/06/2019 05:30,0.75,1.25487394117752,-0.46947156278589086,-0.8829475928589269,7.77,60.372899999999994,469.0974329999999,5.3,28.09,148.87699999999998,51.99166667
2/06/2019 06:30,0.8,1.2595829865211376,-0.5446390350150271,-0.838670567945424,8.44,71.2336,601.2115839999999,5.23,27.352900000000005,143.05566700000003,72.6
2/06/2019 07:30,0.85,1.261678937263507,-0.6427876096865393,-0.766044443118978,8.95,80.10249999999999,716.9173749999999,4.78,22.8484,109.21535200000001,60.43333333
2/06/2019 08:30,0.92,1.265552249262588,-0.7071067811865475,-0.7071067811865477,9.46,89.49160000000002,846.5905360000003,4.36,19.009600000000002,82.88185600000001,82.70833333
2/06/2019 09:30,0.95,1.2684474483764454,-0.6691306063588582,-0.7431448254773942,9.95,99.00249999999998,985.0748749999998,4.33,18.7489,81.182737,76.68333333
2/06/2019 10:30,0.95,1.2700924061300962,-0.48480962024633695,-0.8746197071393959,10.48,109.83040000000001,1151.022592,4.71,22.1841,104.487111,67.69166667
2/06/2019 11:30,0.93,1.2740884889753756,-0.275637355816999,-0.9612616959383189,10.62,112.78439999999998,1197.7703279999998,4.51,20.3401,91.73385099999999,60.4
2/06/2019 12:30,0.92,1.2790450515646439,-0.15643446504023073,-0.9876883405951378,10.42,108.57639999999999,1131.366088,4.0,16.0,64.0,52.75
2/06/2019 13:30,0.93,1.2822420780409036,-0.15643446504023073,-0.9876883405951378,10.23,104.6529,1070.599167,3.86,14.8996,57.51245599999999,45.61666667
2/06/2019 14:30,0.94,1.2852160587246302,-0.19080899537654472,-0.981627183447664,9.99,99.8001,997.002999,3.68,13.5424,49.836032,59.25
2/06/2019 15:30,0.94,1.2868859440014768,-0.2419218955996675,-0.9702957262759965,9.93,98.6049,979.1466569999999,3.54,12.531600000000001,44.361864000000004,47.475
2/06/2019 16:30,0.93,1.2872065824078383,-0.2923717047227364,-0.9563047559630355,10.04,100.80159999999998,1012.0480639999997,3.45,11.902500000000002,41.06362500000001,53.50833333
2/06/2019 17:30,0.92,1.2873174684349822,-0.374606593415912,-0.9271838545667874,10.28,105.67839999999998,1086.3739519999997,3.47,12.0409,41.781923000000006,68.81666667
2/06/2019 18:30,0.92,1.2880352855589772,-0.4226182617406993,-0.90630778703665,10.44,108.99359999999999,1137.8931839999998,3.53,12.460899999999999,43.986976999999996,61.91666667
2/06/2019 19:30,0.92,1.2891486601964814,-0.43837114678907707,-0.8987940462991671,10.41,108.3681,1128.111921,3.56,12.6736,45.118016000000004,56.24166667
2/06/2019 20:30,0.91,1.2892732359774723,-0.45399049973954625,-0.8910065241883681,10.38,107.74440000000001,1118.3868720000003,3.72,13.838400000000002,51.478848000000006,46.45833333
2/06/2019 21:30,0.9,1.2872800997678049,-0.4226182617406993,-0.90630778703665,10.41,108.3681,1128.111921,4.12,16.9744,69.934528,27.55833333
2/06/2019 22:30,0.87,1.2845035552753066,-0.35836794954530043,-0.9335804264972017,10.5,110.25,1157.625,4.75,22.5625,107.171875,24.80833333
2/06/2019 23:30,0.83,1.2803044655183866,-0.34202014332566866,-0.9396926207859084,10.48,109.83040000000001,1151.022592,5.13,26.3169,135.005697,22.45833333
3/06/2019 00:30,0.79,1.2758645514457994,-0.35836794954530043,-0.9335804264972017,10.38,107.74440000000001,1118.3868720000003,5.36,28.729600000000005,153.99065600000003,32.575
3/06/2019 01:30,0.75,1.270921929890157,-0.34202014332566866,-0.9396926207859084,10.31,106.29610000000001,1095.9127910000002,5.79,33.5241,194.10453900000002,47.84166667
3/06/2019 02:30,0.72,1.2654463994907277,-0.34202014332566866,-0.9396926207859084,10.26,105.2676,1080.045576,6.18,38.1924,236.02903199999997,52.33333333
3/06/2019 03:30,0.71,1.26215315353513,-0.32556815445715676,-0.9455185755993167,10.29,105.88409999999999,1089.5473889999998,6.48,41.99040000000001,272.097792,80.90833333
3/06/2019 04:30,0.71,1.2613331733313649,-0.30901699437494773,-0.9510565162951535,10.47,109.62090000000002,1147.730823,6.75,45.5625,307.546875,73.49166667
3/06/2019 05:30,0.72,1.2650723143418197,-0.30901699437494773,-0.9510565162951535,10.01,100.20009999999999,1003.0030009999999,6.49,42.1201,273.35944900000004,93.75833333
3/06/2019 06:30,0.74,1.2685916506176957,-0.30901699437494773,-0.9510565162951535,9.69,93.89609999999999,909.8532089999999,6.04,36.4816,220.348864,96.34166667
3/06/2019 07:30,0.76,1.271195334232274,-0.275637355816999,-0.9612616959383189,10.31,106.29610000000001,1095.9127910000002,5.9,34.81,205.37900000000005,83.54166667
3/06/2019 08:30,0.79,1.2752457528768262,-0.22495105434386498,-0.9743700647852352,10.95,119.90249999999999,1312.9323749999996,5.69,32.3761,184.22000900000003,72.325
3/06/2019 09:30,0.81,1.27827585748577,-0.17364817766693047,-0.984807753012208,11.39,129.7321,1477.6486190000003,5.45,29.7025,161.87862500000003,68.15833333
3/06/2019 10:30,0.82,1.2804694324546015,-0.10452846326765305,-0.9945218953682734,11.72,137.35840000000002,1609.8404480000002,5.19,26.936100000000003,139.79835900000003,40.59166667
3/06/2019 11:30,0.83,1.2856485030582974,0.01745240643728344,-0.9998476951563913,11.2,125.43999999999998,1404.9279999999997,4.57,20.884900000000002,95.44399300000002,41.08333333
3/06/2019 12:30,0.84,1.291191532980483,0.10452846326765373,-0.9945218953682733,10.38,107.74440000000001,1118.3868720000003,3.89,15.132100000000001,58.86386900000001,51.95
3/06/2019 13:30,0.87,1.2937367120774423,0.10452846326765373,-0.9945218953682733,10.06,101.20360000000001,1018.1082160000002,3.51,12.320099999999998,43.24355099999999,38.59166667
3/06/2019 14:30,0.9,1.2961981830045293,0.08715574274765864,-0.9961946980917455,9.63,92.73690000000002,893.0563470000002,3.2,10.240000000000002,32.76800000000001,44.5
